AeroDyn	airfoil	file	Created	with	QBlade	v0.963	64bit	on	13.12.2018	at	15:49:54	Compatible	with	AeroDyn	v13.0.
	-10	-0.9501	0.0420												
	-9.9	-0.9518	0.0413												
	-9.8	-0.9543	0.0405												
	-9.7	-0.9574	0.0398												
	-9.6	-0.9541	0.0391												
	-9.5	-0.9471	0.0387												
	-9.4	-0.9411	0.0384												
	-9.3	-0.9362	0.0381												
	-9.2	-0.9319	0.0377												
	-9.1	-0.9286	0.0372												
	-9	-0.9260	0.0366												
	-8.9	-0.9242	0.0360												
	-8.8	-0.9234	0.0354												
	-8.7	-0.9158	0.0350												
	-8.6	-0.9089	0.0347												
	-8.5	-0.9028	0.0345												
	-8.4	-0.8974	0.0342												
	-8.3	-0.8926	0.0339												
	-8.2	-0.8888	0.0334												
	-8.1	-0.8846	0.0330												
	-8	-0.8768	0.0327												
	-7.9	-0.8700	0.0324												
	-7.8	-0.8637	0.0322												
	-7.7	-0.8579	0.0319												
	-7.6	-0.8526	0.0315												
	-7.5	-0.8474	0.0312												
	-7.4	-0.8397	0.0309												
	-7.3	-0.8328	0.0307												
	-7.2	-0.8264	0.0305												
	-7.1	-0.8205	0.0303												
	-7	-0.8111	0.0300												
	-6.9	-0.7930	0.0298												
	-6.8	-0.7760	0.0296												
	-6.7	-0.7591	0.0294												
	-6.6	-0.7422	0.0291												
	-6.5	-0.7259	0.0290												
	-6.4	-0.7085	0.0288												
	-6.3	-0.6933	0.0285												
	-6.2	-0.6772	0.0284												
	-6.1	-0.6596	0.0282												
	-6	-0.6449	0.0280												
	-5.9	-0.6299	0.0278												
	-5.8	-0.6126	0.0276												
	-5.7	-0.5963	0.0275												
	-5.6	-0.5839	0.0273												
	-5.5	-0.5670	0.0271												
	-5.4	-0.5483	0.0270												
	-5.3	-0.5376	0.0268												
	-5.2	-0.5229	0.0267												
	-5.1	-0.5053	0.0265												
	-5	-0.4858	0.0263												
	-4.9	-0.4788	0.0262												
	-4.8	-0.4629	0.0260												
	-4.7	-0.4448	0.0259												
	-4.6	-0.4290	0.0257												
	-4.5	-0.4205	0.0256												
	-4.4	-0.4044	0.0254												
	-4.3	-0.3860	0.0253												
	-4.2	-0.3662	0.0250												
	-4.1	-0.3629	0.0250												
	-4	-0.3469	0.0248												
	-3.9	-0.3287	0.0246												
	-3.8	-0.3090	0.0244												
	-3.7	-0.3051	0.0243												
	-3.6	-0.2902	0.0242												
	-3.5	-0.2722	0.0240												
	-3.4	-0.2525	0.0237												
	-3.3	-0.2452	0.0237												
	-3.2	-0.2334	0.0235												
	-3.1	-0.2162	0.0234												
	-3	-0.1969	0.0231												
	-2.9	-0.1772	0.0229												
	-2.8	-0.1747	0.0229												
	-2.7	-0.1601	0.0228												
	-2.6	-0.1431	0.0225												
	-2.5	-0.1256	0.0223												
	-2.4	-0.1075	0.0220												
	-2.3	-0.1064	0.0222												
	-2.2	-0.0921	0.0220												
	-2.1	-0.0760	0.0218												
	-2	-0.0591	0.0215												
	-1.9	-0.0417	0.0213												
	-1.8	-0.0420	0.0215												
	-1.7	-0.0278	0.0213												
	-1.6	-0.0121	0.0211												
	-1.5	0.0043	0.0209												
	-1.4	0.0085	0.0210												
	-1.3	0.0198	0.0209												
	-1.2	0.0342	0.0208												
	-1.1	0.0496	0.0206												
	-1	0.0663	0.0205												
	-0.9	0.0676	0.0207												
	-0.8	0.0801	0.0206												
	-0.7	0.0952	0.0205												
	-0.6	0.1124	0.0204												
	-0.5	0.1179	0.0206												
	-0.4	0.1283	0.0206												
	-0.3	0.1442	0.0206												
	-0.2	0.1600	0.0205												
	-0.1	0.1800	0.0204												
	0	0.1834	0.0207												
	0.1	0.1983	0.0207												
	0.2	0.2188	0.0207												
	0.3	0.2374	0.0206												
	0.4	0.2507	0.0209												
	0.5	0.2641	0.0209												
	0.6	0.2895	0.0209												
	0.7	0.3133	0.0209												
	0.8	0.3288	0.0211												
	0.9	0.3507	0.0212												
	1	0.3702	0.0211												
	1.1	0.4005	0.0211												
	1.2	0.4180	0.0212												
	1.3	0.4400	0.0212												
	1.4	0.4646	0.0212												
	1.5	0.4860	0.0211												
	1.6	0.5068	0.0212												
	1.7	0.5258	0.0212												
	1.8	0.5512	0.0211												
	1.9	0.5712	0.0211												
	2	0.5932	0.0211												
	2.1	0.6149	0.0210												
	2.2	0.6392	0.0209												
	2.3	0.6604	0.0209												
	2.4	0.6829	0.0208												
	2.5	0.7001	0.0207												
	2.6	0.7094	0.0206												
	2.7	0.7134	0.0208												
	2.8	0.7197	0.0208												
	2.9	0.7275	0.0208												
	3	0.7369	0.0207												
	3.1	0.7424	0.0208												
	3.2	0.7477	0.0209												
	3.3	0.7551	0.0209												
	3.4	0.7641	0.0209												
	3.5	0.7725	0.0209												
	3.6	0.7759	0.0211												
	3.7	0.7824	0.0211												
	3.8	0.7907	0.0211												
	3.9	0.8011	0.0211												
	4	0.8049	0.0213												
	4.1	0.8099	0.0214												
	4.2	0.8175	0.0215												
	4.3	0.8273	0.0215												
	4.4	0.8354	0.0216												
	4.5	0.8382	0.0218												
	4.6	0.8447	0.0218												
	4.7	0.8536	0.0219												
	4.8	0.8651	0.0219												
	4.9	0.8677	0.0221												
	5	0.8725	0.0222												
	5.1	0.8804	0.0223												
	5.2	0.8912	0.0223												
	5.3	0.8986	0.0224												
	5.4	0.9012	0.0227												
	5.5	0.9079	0.0228												
	5.6	0.9177	0.0228												
	5.7	0.9243	0.0230												
	5.8	0.9308	0.0231												
	5.9	0.9361	0.0232												
	6	0.9449	0.0233												
	6.1	0.9574	0.0233												
	6.2	0.9612	0.0235												
	6.3	0.9649	0.0237												
	6.4	0.9728	0.0238												
	6.5	0.9846	0.0238												
	6.6	0.9918	0.0239												
	6.7	0.9940	0.0242												
	6.8	1.0011	0.0243												
	6.9	1.0123	0.0243												
	7	1.0220	0.0244												
	7.1	1.0231	0.0247												
	7.2	1.0294	0.0248												
	7.3	1.0403	0.0248												
	7.4	1.0512	0.0249												
	7.5	1.0516	0.0252												
	7.6	1.0575	0.0253												
	7.7	1.0683	0.0253												
	7.8	1.0791	0.0254												
	7.9	1.0793	0.0257												
	8	1.0852	0.0258												
	8.1	1.0965	0.0258												
	8.2	1.1055	0.0260												
	8.3	1.1063	0.0262												
	8.4	1.1128	0.0264												
	8.5	1.1247	0.0264												
	8.6	1.1305	0.0266												
	8.7	1.1324	0.0268												
	8.8	1.1400	0.0269												
	8.9	1.1531	0.0269												
	9	1.1545	0.0272												
	9.1	1.1579	0.0274												
	9.2	1.1669	0.0275												
	9.3	1.1785	0.0276												
	9.4	1.1774	0.0279												
	9.5	1.1826	0.0281												
	9.6	1.1934	0.0281												
	9.7	1.1983	0.0284												
	9.8	1.1994	0.0287												
	9.9	1.2063	0.0288												
	10	1.2200	0.0289												
	10.1	1.2170	0.0293												
	10.2	1.2202	0.0295												
	10.3	1.2292	0.0296												
	10.4	1.2353	0.0299												
	10.5	1.2344	0.0302												
	10.6	1.2393	0.0304												
	10.7	1.2514	0.0306												
	10.8	1.2496	0.0310												
	10.9	1.2494	0.0313												
	11	1.2552	0.0315												
	11.1	1.2654	0.0317												
	11.2	1.2606	0.0321												
	11.3	1.2613	0.0325												
	11.4	1.2686	0.0327												
	11.5	1.2749	0.0330												
	11.6	1.2713	0.0335												
	11.7	1.2730	0.0339												
	11.8	1.2815	0.0341												
	11.9	1.2852	0.0345												
	12	1.2820	0.0351												
	12.1	1.2838	0.0355												
	12.2	1.2928	0.0357												
	12.3	1.2953	0.0362												
	12.4	1.2920	0.0368												
	12.5	1.2936	0.0373												
	12.6	1.3019	0.0376												
	12.7	1.3068	0.0381												
	12.8	1.3024	0.0388												
	12.9	1.3026	0.0394												
	13	1.3084	0.0397												
	13.1	1.3197	0.0400												
	13.2	1.3134	0.0409												
	13.3	1.3111	0.0416												
	13.4	1.3136	0.0422												
	13.5	1.3246	0.0424												
	13.6	1.3275	0.0430												
	13.7	1.3220	0.0440												
	13.8	1.3201	0.0448												
	13.9	1.3233	0.0453												
	14	1.3367	0.0454												
	14.1	1.3376	0.0462												
	14.2	1.3312	0.0473												
	14.3	1.3279	0.0483												
	14.4	1.3291	0.0490												
	14.5	1.3379	0.0493												
	14.6	1.3516	0.0495												
	14.7	1.3432	0.0508												
	14.8	1.3372	0.0520												
	14.9	1.3339	0.0531												
	15	1.3347	0.0539												
	15.1	1.3439	0.0541												
	15.2	1.3619	0.0540												
	15.3	1.3518	0.0555												
	15.4	1.3435	0.0570												
	15.5	1.3372	0.0584												
	15.6	1.3335	0.0596												
	15.7	1.3341	0.0605												
	15.8	1.3463	0.0605												
	15.9	1.3647	0.0603												
	16	1.3534	0.0621												
	16.1	1.3431	0.0639												
	16.2	1.3334	0.0657												
	16.3	1.3251	0.0675												
	16.4	1.3187	0.0692												
	16.5	1.3152	0.0705												
	16.6	1.3172	0.0714												
	16.7	1.3633	0.0687												
	16.8	1.3487	0.0709												
	16.9	1.3339	0.0733												
	17	1.3187	0.0759												
	17.1	1.3029	0.0786												
	17.2	1.2862	0.0816												
	17.3	1.2678	0.0850												
	17.4	1.2463	0.0889												
	17.5	1.2174	0.0940												
	17.6	1.1666	0.1027												
	17.7	1.2052	0.0986												
	17.8	1.2200	0.0977												
	17.9	1.2824	0.0905												
	18	1.2496	0.0958												
	18.1	1.2231	0.1008												
	18.2	1.2000	0.1055												
	18.3	1.0907	0.1331												
	18.4	1.0094	0.1541												
	18.5	0.9495	0.1702												
	18.6	0.7629	0.2160												
	18.7	0.7655	0.2172												
	18.8	0.7699	0.2183												
	18.9	0.7758	0.2194												
	19	0.7837	0.2206												
	19.1	0.7948	0.2222												
	19.2	0.8123	0.2251												
	19.3	0.7937	0.2255												
	19.4	0.7855	0.2263												
	19.5	0.7886	0.2274												
	19.6	0.7934	0.2285												
	19.7	0.7991	0.2296												
	19.8	0.8059	0.2309												
	19.9	0.8142	0.2325												
	20	0.8246	0.2347												
	21	1.2437	0.1564												
	22	1.2304	0.1783												
	23	1.2193	0.2011												
	24	1.2100	0.2246												
	25	1.2020	0.2489												
	26	1.1952	0.2739												
	27	1.1893	0.2996												
	28	1.1841	0.3260												
	29	1.1794	0.3530												
	30	1.1750	0.3806												
	31	1.1709	0.4088												
	32	1.1669	0.4375												
	33	1.1628	0.4667												
	34	1.1586	0.4964												
	35	1.1543	0.5265												
	36	1.1496	0.5571												
	37	1.1447	0.5879												
	38	1.1393	0.6191												
	39	1.1334	0.6506												
	40	1.1271	0.6823												
	41	1.1202	0.7143												
	42	1.1127	0.7464												
	43	1.1047	0.7786												
	44	1.0959	0.8110												
	45	1.0865	0.8433												
	46	1.0764	0.8758												
	47	1.0655	0.9081												
	48	1.0540	0.9405												
	49	1.0417	0.9727												
	50	1.0286	1.0048												
	51	1.0147	1.0367												
	52	1.0001	1.0684												
	53	0.9847	1.0999												
	54	0.9686	1.1310												
	55	0.9516	1.1619												
	56	0.9339	1.1923												
	57	0.9155	1.2224												
	58	0.8962	1.2521												
	59	0.8763	1.2813												
	60	0.8556	1.3099												
	61	0.8341	1.3381												
	62	0.8120	1.3657												
	63	0.7891	1.3926												
	64	0.7656	1.4190												
	65	0.7414	1.4446												
	66	0.7166	1.4696												
	67	0.6911	1.4939												
	68	0.6651	1.5174												
	69	0.6385	1.5401												
	70	0.6113	1.5620												
	71	0.5837	1.5831												
	72	0.5555	1.6034												
	73	0.5268	1.6227												
	74	0.4978	1.6412												
	75	0.4683	1.6587												
	76	0.4384	1.6753												
	77	0.4082	1.6909												
	78	0.3777	1.7055												
	79	0.3469	1.7192												
	80	0.3159	1.7318												
	81	0.2846	1.7434												
	82	0.2532	1.7540												
	83	0.2217	1.7635												
	84	0.1900	1.7720												
	85	0.1583	1.7793												
	86	0.1265	1.7857												
	87	0.0948	1.7909												
	88	0.0631	1.7950												
	89	0.0315	1.7981												
	90	0.0000	1.8000												
	91	-0.0314	1.7995												
	92	-0.0628	1.7978												
	93	-0.0941	1.7951												
	94	-0.1253	1.7912												
	95	-0.1563	1.7863												
	96	-0.1871	1.7803												
	97	-0.2177	1.7733												
	98	-0.2481	1.7651												
	99	-0.2781	1.7560												
	100	-0.3078	1.7457												
	101	-0.3371	1.7345												
	102	-0.3661	1.7222												
	103	-0.3945	1.7089												
	104	-0.4225	1.6947												
	105	-0.4500	1.6794												
	106	-0.4769	1.6632												
	107	-0.5033	1.6461												
	108	-0.5290	1.6281												
	109	-0.5541	1.6092												
	110	-0.5785	1.5894												
	111	-0.6022	1.5688												
	112	-0.6252	1.5474												
	113	-0.6474	1.5252												
	114	-0.6688	1.5022												
	115	-0.6894	1.4785												
	116	-0.7092	1.4541												
	117	-0.7281	1.4290												
	118	-0.7461	1.4033												
	119	-0.7632	1.3769												
	120	-0.7794	1.3500												
	121	-0.7947	1.3225												
	122	-0.8089	1.2945												
	123	-0.8222	1.2661												
	124	-0.8345	1.2371												
	125	-0.8457	1.2078												
	126	-0.8560	1.1781												
	127	-0.8651	1.1481												
	128	-0.8733	1.1177												
	129	-0.8803	1.0871												
	130	-0.8863	1.0563												
	131	-0.8912	1.0253												
	132	-0.8951	0.9941												
	133	-0.8978	0.9628												
	134	-0.8995	0.9314												
	135	-0.9000	0.9000												
	136	-0.8995	0.8686												
	137	-0.8978	0.8372												
	138	-0.8951	0.8059												
	139	-0.8912	0.7747												
	140	-0.8863	0.7437												
	141	-0.8803	0.7129												
	142	-0.8733	0.6823												
	143	-0.8651	0.6519												
	144	-0.8560	0.6219												
	145	-0.8457	0.5922												
	146	-0.8345	0.5629												
	147	-0.8222	0.5339												
	148	-0.8089	0.5055												
	149	-0.7947	0.4775												
	150	-0.7794	0.4500												
	151	-0.7632	0.4231												
	152	-0.7461	0.3967												
	153	-0.7281	0.3710												
	154	-0.7092	0.3459												
	155	-0.6894	0.3215												
	156	-0.6688	0.2978												
	157	-0.6474	0.2748												
	158	-0.6252	0.2526												
	159	-0.6022	0.2312												
	160	-0.5785	0.2106												
	161	-0.5541	0.1908												
	162	-0.5290	0.1719												
	163	-0.5033	0.1539												
	164	-0.4769	0.1368												
	165	-0.4500	0.1206												
	166	-0.4225	0.1053												
	167	-0.3945	0.0911												
	168	-0.3661	0.0778												
	169	-0.3371	0.0655												
	170	-0.3078	0.0543												
	171	-0.2781	0.0440												
	172	-0.2481	0.0349												
	173	-0.2177	0.0267												
	174	-0.1871	0.0197												
	175	-0.1563	0.0137												
	176	-0.1253	0.0088												
	177	-0.0941	0.0049												
	178	-0.0628	0.0022												
	179	-0.0314	0.0005												
	180	0.0000	0.0000												
	180	0.0000	0.0000												
