XFOIL	Version	6.99								
										
Calculated	polar	for:	NACA	2408						
										
1	1	Reynolds	number	fixed	Mach	number	fixed			
										
xtrf	=	1	(top)	1	(bottom)					
Mach	=	0	Re	=	0.075	e	6	Ncrit	=	9
										
alpha	CL	CD	CDp	CM	Top_Xtr	Bot_Xtr				
------	--------	---------	---------	--------	--------	--------				
9.4	1.0326	0.06724	0.06094	-0.0169	0.0835	1				
9.5	1.0311	0.0693	0.06309	-0.0165	0.0842	1				
9.6	1.0308	0.07142	0.06529	-0.0162	0.0849	1				
9.7	1.0348	0.0738	0.06767	-0.0161	0.0858	1				
9.8	0.9172	0.066	0.06048	-0.0054	0.09	1				
9.9	0.8923	0.06846	0.06305	-0.0049	0.0915	1				
10	0.875	0.07088	0.06554	-0.005	0.0924	1				
10.1	0.8592	0.07344	0.06814	-0.0055	0.093	1				
10.2	0.8436	0.0762	0.07094	-0.0065	0.0934	1				
10.3	0.8277	0.0793	0.07407	-0.0079	0.0939	1				
10.4	0.8125	0.08266	0.07746	-0.0096	0.0947	1				
10.5	0.7997	0.08612	0.08092	-0.0114	0.0958	1				
10.6	0.7943	0.08892	0.08372	-0.0121	0.0973	1				
10.7	0.7889	0.09172	0.08652	-0.0128	0.0988	1				
10.8	0.739	0.10322	0.09794	-0.0226	0.1081	1				
10.9	0.848	0.13042	0.12491	-0.0528	0.1973	1				
11	0.8658	0.13287	0.12741	-0.0505	0.1962	1				
11.1	0.8294	0.13439	0.12877	-0.0565	0.1916	1				
11.2	0.8281	0.13603	0.13041	-0.0572	0.1885	1				
11.3	0.8314	0.13765	0.13203	-0.0571	0.1862	1				
11.4	0.8393	0.13932	0.13372	-0.0563	0.1842	1				
11.5	0.8565	0.14152	0.13599	-0.054	0.1826	1				
11.6	0.8505	0.14371	0.13813	-0.0554	0.1815	1				
11.7	0.8292	0.14492	0.13925	-0.0595	0.1774	1				
11.8	0.8289	0.14648	0.14081	-0.0601	0.1744	1				
11.9	0.8331	0.14806	0.1424	-0.0599	0.172	1				
12	0.8432	0.1498	0.14417	-0.0587	0.1699	1				
12.1	0.8603	0.15264	0.14708	-0.0562	0.1679	1				
12.2	0.8441	0.15392	0.14829	-0.0597	0.167	1				
12.3	0.8327	0.15515	0.14945	-0.0624	0.1639	1				
12.4	0.8323	0.15663	0.15093	-0.0631	0.1608	1				
12.5	0.8376	0.15812	0.15246	-0.0628	0.1579	1				
12.6	0.8643	0.1611	0.15551	-0.0582	0.1541	1				
12.7	0.8526	0.16239	0.15675	-0.0612	0.1535	1				
12.8	0.842	0.16355	0.15786	-0.064	0.1521	1				
12.9	0.8375	0.16484	0.15913	-0.0656	0.1491	1				
13	0.8395	0.16623	0.16052	-0.066	0.1458	1				
13.1	0.8545	0.16801	0.16235	-0.0636	0.142	1				
13.2	0.871	0.17141	0.16579	-0.0611	0.1404	1				
13.3	0.8581	0.17225	0.16657	-0.0645	0.1397	1				
13.4	0.848	0.17309	0.16736	-0.0675	0.138	1				
13.5	0.8452	0.1743	0.16856	-0.0689	0.1354	1				
13.6	0.8465	0.17573	0.16998	-0.0695	0.133	1				
13.7	0.8506	0.17729	0.17155	-0.0696	0.1309	1				
13.8	0.8592	0.17922	0.17351	-0.0688	0.1289	1				
13.9	0.8856	0.18395	0.17832	-0.064	0.1269	1				
14	0.8763	0.18469	0.17901	-0.067	0.1266	1				
14.1	0.8667	0.1852	0.17947	-0.0702	0.1258	1				
14.2	0.8592	0.18566	0.17989	-0.0726	0.1242	1				
14.3	0.8579	0.1868	0.18102	-0.074	0.122	1				
14.4	0.8595	0.18819	0.18241	-0.0747	0.1199	1				
14.5	0.8628	0.18969	0.18391	-0.0751	0.118	1				
14.6	0.8682	0.19139	0.18563	-0.0749	0.1162	1				
14.7	0.8806	0.19426	0.18853	-0.0734	0.1145	1				
14.8	0.8966	0.19892	0.19323	-0.0708	0.1132	1				
14.9	0.89	0.19936	0.19363	-0.0736	0.1129	1				
15	0.8826	0.19938	0.19361	-0.0763	0.1123	1				
15.1	0.8774	0.19961	0.19382	-0.0786	0.111	1				
15.2	0.8767	0.20063	0.19481	-0.0801	0.1091	1				
15.3	0.8783	0.20195	0.19613	-0.081	0.1071	1				
15.4	0.8812	0.20336	0.19755	-0.0816	0.1053	1				
15.5	0.8856	0.20491	0.19911	-0.0817	0.1035	1				
15.6	0.895	0.20732	0.20158	-0.0805	0.1014	1				
15.7	0.9121	0.21307	0.20736	-0.0778	0.0997	1				
15.8	0.9071	0.21313	0.20739	-0.0803	0.0994	1				
15.9	0.9022	0.21297	0.2072	-0.0827	0.099	1				
16	0.899	0.21315	0.20736	-0.0849	0.098	1				
16.1	0.8985	0.21397	0.20816	-0.0866	0.0962	1				
16.2	0.9003	0.2152	0.20939	-0.0877	0.0944	1				
16.3	0.9032	0.21655	0.21074	-0.0883	0.0925	1				
16.4	0.9069	0.21799	0.21219	-0.0887	0.0908	1				
16.5	0.9117	0.21965	0.21386	-0.0887	0.0894	1				
16.6	0.9189	0.22203	0.21627	-0.0881	0.0881	1				
16.7	0.9412	0.23056	0.22485	-0.0839	0.0867	1				
16.8	0.9383	0.2306	0.22487	-0.0862	0.0865	1				
16.9	0.9344	0.23016	0.2244	-0.0884	0.0863	1				
17	0.9314	0.22983	0.22405	-0.0906	0.086	1				
17.1	0.9291	0.22971	0.2239	-0.093	0.0853	1				
17.2	0.929	0.23025	0.22442	-0.0949	0.0842	1				
17.3	0.9307	0.23133	0.2255	-0.0962	0.0828	1				
17.4	0.9331	0.23261	0.22678	-0.0972	0.0815	1				
17.5	0.936	0.23396	0.22813	-0.098	0.0802	1				
17.6	0.9392	0.23534	0.22951	-0.0988	0.0791	1				
17.7	0.9427	0.23678	0.23095	-0.0993	0.0779	1				
17.8	0.9466	0.23831	0.2325	-0.0997	0.0769	1				
17.9	0.9512	0.24007	0.23427	-0.0998	0.0759	1				
18	0.9576	0.24264	0.23686	-0.0993	0.075	1				
18.1	0.9785	0.25333	0.24761	-0.0951	0.0737	1				
18.2	0.9767	0.25296	0.24722	-0.0971	0.0736	1				
18.3	0.9746	0.25231	0.24654	-0.0992	0.0735	1				
18.4	0.9731	0.25176	0.24598	-0.1013	0.0733	1				
18.5	0.972	0.25129	0.24548	-0.1035	0.073	1				
18.6	0.9719	0.25122	0.2454	-0.1055	0.0725	1				
18.7	0.973	0.25169	0.24586	-0.1074	0.0716	1				
18.8	0.9752	0.25267	0.24683	-0.1087	0.0705	1				
18.9	0.9779	0.25386	0.24802	-0.1098	0.0693	1				
19	0.9809	0.25513	0.24932	-0.1108	0.0682	1				
19.1	0.9841	0.25643	0.25063	-0.1116	0.0671	1				
19.2	0.9874	0.25777	0.25197	-0.1124	0.066	1				
19.3	0.991	0.25918	0.25338	-0.1129	0.0648	1				
19.4	0.9948	0.26067	0.25489	-0.1134	0.0639	1				
19.5	0.9995	0.26262	0.25685	-0.1133	0.0629	1				
19.6	1.0072	0.26658	0.26085	-0.112	0.0619	1				
19.7	1.0206	0.2761	0.27039	-0.1096	0.0611	1				
19.8	1.0198	0.27528	0.26956	-0.1115	0.061	1				
19.9	1.0194	0.27459	0.26885	-0.1135	0.0609	1				
20	1.0193	0.27394	0.26818	-0.1155	0.0607	1				
