XFOIL	Version	6.99								
-7	-0.4822	0.08663	0.08	-0.0007	1	0.3149				
-6.9	-0.4827	0.08575	0.07915	-0.0004	1	0.3232				
-6.8	-0.4832	0.08487	0.0783	-0.0001	1	0.3315				
-6.7	-0.4803	0.08328	0.07672	0.0001	1	0.3382				
-6.6	-0.4774	0.08169	0.07514	0.0003	1	0.3449				
-6.5	-0.4808	0.08103	0.07454	0.0002	1	0.3539				
-6.4	-0.4716	0.07902	0.0725	0.0015	1	0.3594				
-6.3	-0.4818	0.07874	0.0723	0.0004	1	0.3702				
-6.2	-0.4658	0.07644	0.06996	0.0026	1	0.376				
-6.1	-0.47	0.07557	0.06914	0.0026	1	0.3865				
-6	-0.4668	0.07447	0.06805	0.0035	1	0.397				
-5.9	-0.4597	0.07278	0.06636	0.0046	1	0.4044				
-5.8	-0.4599	0.07175	0.06537	0.0054	1	0.4168				
-5.7	-0.4584	0.0707	0.06435	0.0067	1	0.4307				
-5.6	-0.4569	0.06965	0.06333	0.008	1	0.4446				
-5.5	-0.4518	0.05653	0.04967	-0.0309	1	0.2147				
-5.4	-0.4523	0.05802	0.05134	-0.0252	1	0.2576				
-5.3	-0.451	0.05845	0.05189	-0.0206	1	0.2888				
-5.2	-0.45	0.05831	0.05184	-0.0172	1	0.3159				
-5.1	-0.414	0.04223	0.03382	-0.0414	1	0.1399				
-5	-0.4046	0.04042	0.03146	-0.0419	1	0.1372				
-4.9	-0.3979	0.03931	0.03055	-0.0414	1	0.1404				
-4.8	-0.3899	0.0382	0.02937	-0.0411	1	0.1424				
-4.7	-0.3812	0.03692	0.02791	-0.041	1	0.1434				
-4.6	-0.3722	0.03558	0.02634	-0.0409	1	0.1439				
-4.5	-0.3628	0.03424	0.02477	-0.0408	1	0.144				
-4.4	-0.3532	0.033	0.02331	-0.0407	1	0.1445				
-4.3	-0.3434	0.03184	0.02194	-0.0405	1	0.1457				
-4.2	-0.3335	0.03083	0.02068	-0.0403	1	0.1486				
-4.1	-0.3234	0.02985	0.01941	-0.0401	1	0.1524				
-4	-0.3149	0.02911	0.01881	-0.0398	1	0.1574				
-3.9	-0.3048	0.02829	0.01782	-0.0395	1	0.1618				
-3.8	-0.2939	0.02741	0.01662	-0.0392	1	0.1654				
-3.7	-0.2842	0.02653	0.01578	-0.0389	1	0.1697				
-3.6	-0.2744	0.02592	0.01509	-0.0386	1	0.1772				
-3.5	-0.2648	0.02526	0.01442	-0.0383	1	0.1855				
-3.4	-0.2542	0.02467	0.01362	-0.038	1	0.1948				
-3.3	-0.2445	0.02396	0.01303	-0.0377	1	0.2031				
-3.2	-0.2342	0.02332	0.01235	-0.0374	1	0.2142				
-3.1	-0.2243	0.02278	0.01184	-0.0371	1	0.2294				
-3	-0.2143	0.02221	0.01132	-0.0367	1	0.2462				
-2.9	-0.2039	0.02161	0.01071	-0.0363	1	0.2661				
-2.8	-0.1939	0.02102	0.01027	-0.036	1	0.2924				
-2.7	-0.1832	0.02037	0.00977	-0.0358	1	0.3276				
-2.6	-0.173	0.01959	0.00928	-0.0354	1	0.3744				
-2.5	-0.1638	0.01866	0.00886	-0.0349	1	0.4451				
-2.4	-0.1577	0.01754	0.00858	-0.0333	1	0.5616				
-2.3	-0.1586	0.01646	0.00857	-0.0287	1	0.758				
-2.2	-0.1185	0.01601	0.00782	-0.033	1	1				
-2.1	-0.1099	0.01601	0.0076	-0.0327	1	1				
-2	-0.1014	0.01602	0.00742	-0.0325	1	1				
-1.9	-0.0929	0.01604	0.00726	-0.0322	1	1				
-1.8	-0.0844	0.01606	0.00713	-0.0319	1	1				
-1.7	-0.0759	0.01609	0.00702	-0.0316	1	1				
-1.6	-0.0673	0.01612	0.00692	-0.0313	1	1				
-1.5	-0.0587	0.01616	0.00684	-0.031	1	1				
-1.4	-0.0502	0.01621	0.00677	-0.0308	1	1				
-1.3	-0.0415	0.01626	0.00671	-0.0305	1	1				
-1.2	-0.0329	0.01631	0.00667	-0.0303	1	1				
-1.1	-0.0243	0.01638	0.00661	-0.03	1	1				
-1	-0.0157	0.01645	0.00659	-0.0298	1	1				
-0.9	-0.0071	0.01652	0.00658	-0.0296	1	1				
-0.8	0.0016	0.0166	0.00658	-0.0293	1	1				
-0.7	0.0102	0.01669	0.00659	-0.0291	1	1				
-0.6	0.0187	0.01678	0.00661	-0.0289	1	1				
-0.5	0.0273	0.01688	0.00664	-0.0287	1	1				
-0.4	0.0359	0.01698	0.00669	-0.0286	1	1				
-0.3	0.0444	0.0171	0.00674	-0.0284	1	1				
-0.2	0.0529	0.01722	0.00681	-0.0282	1	1				
-0.1	0.0613	0.01734	0.00687	-0.0281	1	1				
0	0.0698	0.01748	0.00696	-0.028	1	1				
0.1	0.0781	0.01762	0.00706	-0.0278	1	1				
0.2	0.0865	0.01777	0.00717	-0.0277	1	1				
0.3	0.0948	0.01794	0.00729	-0.0276	1	1				
0.4	0.103	0.01811	0.00743	-0.0275	1	1				
0.5	0.1112	0.01829	0.00758	-0.0274	1	1				
0.6	0.1193	0.01848	0.00774	-0.0274	1	1				
0.7	0.1274	0.01868	0.00792	-0.0273	1	1				
0.8	0.1353	0.01889	0.00811	-0.0273	1	1				
0.9	0.1432	0.01911	0.00831	-0.0272	1	1				
1	0.1511	0.01935	0.00853	-0.0272	1	1				
1.1	0.1588	0.01959	0.00876	-0.0272	1	1				
1.2	0.1665	0.01985	0.00901	-0.0272	1	1				
1.3	0.1741	0.02013	0.00927	-0.0273	1	1				
1.4	0.1817	0.02041	0.00955	-0.0273	1	1				
1.5	0.1891	0.02071	0.00985	-0.0274	1	1				
1.6	0.1965	0.02103	0.01016	-0.0275	1	1				
1.7	0.2038	0.02135	0.01048	-0.0276	1	1				
1.8	0.211	0.02169	0.01083	-0.0277	1	1				
1.9	0.2181	0.02205	0.01119	-0.0278	1	1				
2	0.2252	0.02242	0.01156	-0.028	1	1				
2.1	0.2464	0.02291	0.01208	-0.0307	0.9945	1				
2.2	0.2706	0.02338	0.01259	-0.034	0.986	1				
2.3	0.2936	0.02384	0.01308	-0.0369	0.9777	1				
2.4	0.3207	0.02432	0.01361	-0.0405	0.9703	1				
2.5	0.3395	0.02468	0.01401	-0.0426	0.9608	1				
2.6	0.362	0.02506	0.01445	-0.0453	0.9524	1				
2.7	0.3852	0.02542	0.01489	-0.048	0.9439	1				
2.8	0.403	0.02573	0.01526	-0.0497	0.9345	1				
2.9	0.4286	0.02604	0.01565	-0.0526	0.9267	1				
3	0.445	0.0263	0.01598	-0.054	0.9169	1				
3.1	0.4634	0.02656	0.01632	-0.0556	0.9077	1				
3.2	0.4888	0.02674	0.0166	-0.0582	0.8997	1				
3.3	0.5022	0.02698	0.01694	-0.0588	0.8895	1				
3.4	0.522	0.02715	0.0172	-0.0604	0.8805	1				
3.5	0.5451	0.02722	0.01739	-0.0624	0.8718	1				
3.6	0.5591	0.02741	0.01767	-0.0629	0.8616	1				
3.7	0.5818	0.02742	0.0178	-0.0646	0.8529	1				
3.8	0.6014	0.0274	0.0179	-0.0657	0.8435	1				
3.9	0.6149	0.02751	0.0181	-0.0658	0.833	1				
4	0.6346	0.02739	0.01815	-0.0666	0.8238	1				
4.1	0.6543	0.02719	0.01808	-0.0672	0.8141	1				
4.2	0.6665	0.02722	0.01821	-0.0669	0.8028	1				
4.3	0.6816	0.02709	0.01819	-0.0667	0.7918	1				
4.4	0.6996	0.02673	0.01796	-0.0665	0.7811	1				
4.5	0.7181	0.02623	0.01758	-0.0661	0.7697	1				
4.6	0.7305	0.02596	0.01741	-0.065	0.7563	1				
4.7	0.7436	0.02555	0.01709	-0.0637	0.7422	1				
4.8	0.7569	0.02501	0.01668	-0.0622	0.7271	1				
4.9	0.768	0.02455	0.01628	-0.0604	0.7104	1				
5	0.7771	0.02419	0.01597	-0.0585	0.6919	1				
5.1	0.7873	0.02369	0.01551	-0.0564	0.6727	1				
5.2	0.7971	0.02322	0.01503	-0.0543	0.6524	1				
5.3	0.8046	0.02294	0.01478	-0.0523	0.6301	1				
5.4	0.8124	0.02266	0.01448	-0.0503	0.6063	1				
5.5	0.8194	0.02241	0.01419	-0.0482	0.5795	1				
5.6	0.8249	0.02227	0.014	-0.046	0.5478	1				
5.7	0.8295	0.02217	0.01376	-0.0436	0.5091	1				
5.8	0.8313	0.02228	0.01369	-0.0409	0.4547	1				
5.9	0.8304	0.02282	0.01373	-0.038	0.3764	1				
6	0.8293	0.024	0.01414	-0.0356	0.2981	1				
6.1	0.8323	0.0253	0.01487	-0.0342	0.2483	1				
6.2	0.8386	0.02645	0.01572	-0.0333	0.2175	1				
6.3	0.8467	0.02752	0.01653	-0.0326	0.1972	1				
6.4	0.8556	0.02851	0.01735	-0.032	0.1809	1				
6.5	0.8651	0.02948	0.01816	-0.0316	0.1679	1				
6.6	0.8761	0.0304	0.01917	-0.0312	0.1582	1				
6.7	0.8876	0.03148	0.0202	-0.0309	0.1506	1				
6.8	0.8979	0.03241	0.0211	-0.0306	0.143	1				
6.9	0.9083	0.03346	0.02219	-0.0302	0.1366	1				
7	0.9186	0.03442	0.02321	-0.0299	0.1311	1				
7.1	0.9305	0.03576	0.02443	-0.0299	0.1274	1				
7.2	0.9406	0.03696	0.0259	-0.0294	0.1249	1				
7.3	0.9498	0.0381	0.02728	-0.0288	0.1221	1				
7.4	0.9587	0.03921	0.02854	-0.0283	0.1189	1				
7.5	0.9684	0.04035	0.02962	-0.0281	0.1153	1				
7.6	0.9771	0.0419	0.03118	-0.0279	0.1127	1				
7.7	0.9839	0.04314	0.03275	-0.0271	0.1114	1				
7.8	0.9911	0.04459	0.03446	-0.0265	0.1106	1				
7.9	0.9977	0.04613	0.03623	-0.0258	0.1102	1				
8	1.0037	0.04772	0.03806	-0.0251	0.1099	1				
8.1	1.0092	0.04938	0.03995	-0.0245	0.1099	1				
8.2	1.014	0.05107	0.04185	-0.0238	0.1098	1				
8.3	1.0178	0.05277	0.04378	-0.0231	0.1097	1				
8.4	1.0207	0.05451	0.04573	-0.0224	0.1095	1				
8.5	1.0228	0.05627	0.04771	-0.0217	0.1094	1				
8.6	1.0242	0.05807	0.04972	-0.0211	0.1093	1				
8.7	1.0249	0.05992	0.05176	-0.0204	0.1093	1				
8.8	1.0249	0.06181	0.05383	-0.0198	0.1094	1				
8.9	1.0244	0.06374	0.05593	-0.0193	0.1097	1				
9	1.0234	0.06572	0.05806	-0.0188	0.11	1				
9.1	1.0223	0.06774	0.06021	-0.0183	0.1105	1				
9.2	1.0213	0.06979	0.06237	-0.0179	0.1111	1				
9.3	1.0213	0.0719	0.06456	-0.0176	0.1118	1				
9.4	1.0251	0.07416	0.06685	-0.0175	0.1127	1				
9.5	1.0142	0.07613	0.06908	-0.0171	0.1148	1				
9.6	0.9799	0.07958	0.07283	-0.0177	0.1191	1				
9.7	0.9682	0.0821	0.07542	-0.018	0.1212	1				
9.8	0.96	0.08445	0.0778	-0.0182	0.1227	1				
9.9	0.9546	0.08677	0.08013	-0.0186	0.124	1				
10	0.9529	0.08904	0.08241	-0.0188	0.1251	1				
10.1	0.97	0.09133	0.08472	-0.0182	0.1273	1				
10.2	0.9074	0.09894	0.09237	-0.027	0.1383	1				
10.3	0.9126	0.1009	0.09433	-0.0266	0.1396	1				
10.4	0.9297	0.10225	0.0957	-0.0243	0.1405	1				
10.5	0.7274	0.10447	0.09797	-0.0248	0.1477	1				
10.6	0.7241	0.10719	0.10068	-0.0256	0.1509	1				
10.7	0.7367	0.1086	0.10213	-0.0242	0.1537	1				
10.8	0.6329	0.12731	0.12062	-0.045	0.3015	1				
10.9	0.6319	0.12889	0.1222	-0.0452	0.3008	1				
11	0.6319	0.13045	0.12377	-0.0454	0.2997	1				
11.1	0.6335	0.13212	0.12544	-0.0455	0.2984	1				
11.2	0.6378	0.13401	0.12734	-0.0456	0.2969	1				
11.3	0.655	0.13742	0.13084	-0.0453	0.2948	1				
11.4	0.642	0.13773	0.1311	-0.0458	0.2938	1				
11.5	0.6295	0.13777	0.13108	-0.0461	0.291	1				
11.6	0.6269	0.13868	0.13199	-0.0462	0.2872	1				
11.7	0.6387	0.14102	0.13439	-0.0459	0.2823	1				
11.8	0.6437	0.14323	0.1366	-0.0459	0.2798	1				
11.9	0.6317	0.1431	0.13644	-0.0462	0.2779	1				
12	0.6263	0.14354	0.13688	-0.0463	0.2739	1				
12.1	0.6436	0.14657	0.13996	-0.0458	0.2675	1				
12.2	0.6452	0.14841	0.14179	-0.046	0.2658	1				
12.3	0.6317	0.14774	0.14109	-0.0462	0.2639	1				
12.4	0.6246	0.14776	0.14111	-0.0463	0.2603	1				
12.5	0.627	0.14899	0.14235	-0.0462	0.2565	1				
12.6	0.6399	0.15199	0.14539	-0.0461	0.2535	1				
12.7	0.6473	0.15476	0.14815	-0.0462	0.2519	1				
12.8	0.6311	0.15322	0.1466	-0.0464	0.2504	1				
12.9	0.6228	0.1529	0.14627	-0.0466	0.2472	1				
13	0.623	0.15382	0.1472	-0.0466	0.2437	1				
13.1	0.6303	0.15585	0.14924	-0.0465	0.2405	1				
13.2	0.6487	0.16055	0.15396	-0.0464	0.238	1				
13.3	0.6345	0.1591	0.1525	-0.0468	0.237	1				
13.4	0.6246	0.15837	0.15176	-0.0472	0.2345	1				
13.5	0.6227	0.15893	0.15231	-0.0474	0.2309	1				
13.6	0.6281	0.16057	0.15397	-0.0472	0.2272	1				
13.7	0.6447	0.16494	0.15837	-0.0469	0.2237	1				
13.8	0.6336	0.16388	0.15728	-0.0475	0.2227	1				
13.9	0.626	0.16343	0.15683	-0.048	0.2201	1				
14	0.6253	0.16409	0.15749	-0.0482	0.2162	1				
14.1	0.6538	0.17058	0.16402	-0.0472	0.21	1				
14.2	0.6425	0.16934	0.16276	-0.0478	0.2094	1				
14.3	0.6332	0.16848	0.16189	-0.0485	0.2081	1				
14.4	0.6283	0.1684	0.16181	-0.049	0.2052	1				
14.5	0.6291	0.16931	0.16272	-0.0492	0.2016	1				
14.6	0.6362	0.17136	0.16479	-0.0489	0.1983	1				
14.7	0.654	0.17657	0.17006	-0.0485	0.1959	1				
14.8	0.6436	0.17527	0.16871	-0.0492	0.1953	1				
14.9	0.6356	0.17449	0.16792	-0.05	0.1937	1				
15	0.6324	0.1747	0.16813	-0.0505	0.1909	1				
15.1	0.6332	0.17564	0.16907	-0.0508	0.188	1				
15.2	0.6376	0.17722	0.17069	-0.0508	0.1853	1				
15.3	0.6524	0.18154	0.17505	-0.0502	0.1826	1				
15.4	0.6526	0.18286	0.17636	-0.0506	0.1817	1				
15.5	0.6444	0.18186	0.17534	-0.0514	0.1808	1				
15.6	0.6392	0.18155	0.17503	-0.0522	0.1788	1				
15.7	0.6382	0.18212	0.1756	-0.0526	0.1762	1				
15.8	0.6397	0.18319	0.17668	-0.0529	0.1736	1				
15.9	0.6449	0.18499	0.17849	-0.0528	0.1708	1				
16	0.6617	0.19048	0.184	-0.0521	0.168	1				
16.1	0.6542	0.18944	0.18295	-0.0529	0.1675	1				
16.2	0.6481	0.18877	0.18227	-0.0538	0.1664	1				
16.3	0.645	0.18884	0.18233	-0.0545	0.1641	1				
16.4	0.6451	0.1896	0.1831	-0.0549	0.1613	1				
16.5	0.6481	0.19091	0.18442	-0.055	0.1584	1				
16.6	0.6712	0.19817	0.19172	-0.0536	0.1543	1				
16.7	0.6641	0.19707	0.1906	-0.0545	0.154	1				
16.8	0.658	0.19623	0.18976	-0.0554	0.1533	1				
16.9	0.6536	0.19592	0.18944	-0.0563	0.152	1				
17	0.6521	0.19631	0.18983	-0.0569	0.1497	1				
17.1	0.6527	0.1972	0.19073	-0.0573	0.1473	1				
17.2	0.655	0.19844	0.19198	-0.0575	0.1451	1				
17.3	0.6594	0.20021	0.19377	-0.0575	0.143	1				
17.4	0.6728	0.20507	0.19866	-0.0568	0.1409	1				
17.5	0.6737	0.20654	0.20011	-0.0573	0.1403	1				
17.6	0.6683	0.20575	0.19931	-0.0582	0.1399	1				
17.7	0.6643	0.20535	0.19891	-0.0591	0.139	1				
17.8	0.6622	0.20554	0.1991	-0.0598	0.1375	1				
17.9	0.6619	0.20625	0.19981	-0.0604	0.1356	1				
18	0.6629	0.20724	0.20081	-0.0608	0.1336	1				
18.1	0.6648	0.20844	0.20202	-0.0611	0.1318	1				
18.2	0.668	0.20996	0.20358	-0.0612	0.13	1				
18.3	0.6742	0.21248	0.20612	-0.061	0.1282	1				
18.4	0.6868	0.21812	0.21177	-0.0604	0.1268	1				
18.5	0.6819	0.21723	0.21087	-0.0614	0.1265	1				
18.6	0.6778	0.21663	0.21027	-0.0623	0.126	1				
18.7	0.6749	0.21645	0.21009	-0.0632	0.1252	1				
18.8	0.6736	0.2168	0.21044	-0.0639	0.1237	1				
18.9	0.6738	0.21759	0.21124	-0.0645	0.1219	1				
19	0.6748	0.21861	0.21226	-0.0649	0.1201	1				
19.1	0.6767	0.21982	0.21348	-0.0652	0.1182	1				
19.2	0.6797	0.22133	0.215	-0.0653	0.1164	1				
19.3	0.6867	0.22428	0.21798	-0.065	0.1144	1				
19.4	0.696	0.22909	0.22279	-0.0647	0.1132	1				
19.5	0.692	0.22835	0.22204	-0.0656	0.1129	1				
19.6	0.6888	0.2279	0.22159	-0.0665	0.1124	1				
19.7	0.6866	0.22785	0.22155	-0.0674	0.1116	1				
19.8	0.6857	0.22829	0.22199	-0.0681	0.1102	1				
19.9	0.686	0.22912	0.22282	-0.0687	0.1086	1				
20	0.6871	0.23016	0.22387	-0.0691	0.1069	1				
